TimeStarted,ParticipantNumber,RAName,Age,Sex,Handedness,VRExperience,Trial,BalloonTimeSeconds,BalloonPopped,AmountCenter,HitInTime
6/13/201712:34:34,,nikki,,Male,Right,No,Prac1.10,2.5,Y,0.0498616,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac1.11,2.5,Y,0.1177648,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac1.12,2.5,Y,0.1272113,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.1,2.3,N,1.368723,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.2,2.3,Y,0.05193514,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.3,2.3,Y,0.05024005,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.4,2.3,Y,0.08176369,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.5,2.3,Y,0.07779729,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.6,2.3,Y,0.1119371,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.7,2.3,Y,0.1144907,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.8,2.3,Y,0.06716697,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.9,2.3,Y,0.04814125,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.10,2.3,Y,0.1551507,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.11,2.3,Y,0.07074095,Y
6/13/201712:34:34,,nikki,,Male,Right,No,Prac2.12,2.3,Y,0.1842825,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.1,2.5,Y,0.09104419,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.2,2.5,N,0.1920443,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.3,2.5,Y,0.06887536,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.4,2.5,Y,0.03950585,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.5,2.5,Y,0.02593694,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.6,2.5,Y,0.09103224,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.7,2.5,Y,0.05192329,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.8,2.5,Y,0.1044767,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.9,2.5,Y,0.04710101,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.10,2.5,Y,0.1822503,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.11,2.5,Y,0.1230291,Y
6/13/201701:33:57,,,,Male,Right,No,Prac1.12,2.5,Y,0.08427067,Y
